84239dab-07f1-4ad9-a0d9-35ab0432a8c5,690359802,test,27 years ago,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,6fb7b005-f9a1-4674-89b4-fa600252863d
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575510488,PayStubService,(null),ET,00000000-0000-0000-0000-000000000000,bed3269b-3c83-414d-9983-3b7389dd3c4f
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575511478,PayStubService,banana,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,bed3269b-3c83-414d-9983-3b7389dd3c4f
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575513371,PayStubService,Running server: .,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,06793db6-c20c-45e0-b355-974dc9517bb1
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575513390,PayStubService,Failed to publish: .,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,06793db6-c20c-45e0-b355-974dc9517bb1
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575513422,PayStubService,Running server: .,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,06793db6-c20c-45e0-b355-974dc9517bb1
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575513796,PayStubService,Failed to publish: .,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,06793db6-c20c-45e0-b355-974dc9517bb1
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575553910,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575553939,PayStubService,Newrequest,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575553942,PayStubService,SentmorethanlinesExpectingmandatoryandtooptional,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575553945,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575553996,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554027,PayStubService,Newrequest,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554027,PayStubService,SentmorethanlinesExpectingmandatoryandtooptional,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554027,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554072,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554072,PayStubService,Newrequest,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554072,PayStubService,SentmorethanlinesExpectingmandatoryandtooptional,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554072,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554097,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554105,PayStubService,Newrequest,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554106,PayStubService,SentmorethanlinesExpectingmandatoryandtooptional,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554112,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554191,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554195,PayStubService,Newrequest,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554196,PayStubService,SentmorethanlinesExpectingmandatoryandtooptional,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554198,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554299,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554311,PayStubService,Newrequest,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554326,PayStubService,SentmorethanlinesExpectingmandatoryandtooptional,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554342,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554382,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554464,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554481,PayStubService,NewrequestSOAOK,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554490,PayStubService,SentmorethanlinesExpectingmandatoryandtooptionalSOAOK,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554493,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554524,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554527,PayStubService,NewrequestSOANOTOKTeamjTeamIDhasalreadypublishedservicePAYROLL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554527,PayStubService,registerysaysnotokSOANOTOKTeamjTeamIDhasalreadypublishedservicePAYROLL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554527,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554573,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554576,PayStubService,NewrequestSOANOTOKTeamjTeamIDhasalreadypublishedservicePAYROLL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554576,PayStubService,registerysaysnotokSOANOTOKTeamjTeamIDhasalreadypublishedservicePAYROLL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554576,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554712,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554713,PayStubService,NewrequestSOANOTOKTeamjTeamIDhasalreadypublishedservicePAYROLL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554713,PayStubService,registerysaysnotokSOANOTOKTeamjTeamIDhasalreadypublishedservicePAYROLL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575554713,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,0ce6f626-1735-456b-aaca-46edd8ddca5a
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562615,PayStubService,Clientconnected,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562615,PayStubService,NewrequestDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562615,PayStubService,ErrorparsingARGsWrongformatornumberoffieldsDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562615,PayStubService,ErrorparsingARGsWrongformatornumberoffieldsDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562615,PayStubService,NewrequestSOANOTOKTeamjTeamdoesnothaveadequatesecurityleveltorunserviceGIORPTOTAL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562615,PayStubService,registerysaysnotokSOANOTOKTeamjTeamdoesnothaveadequatesecurityleveltorunserviceGIORPTOTAL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562615,PayStubService,Clientnotallowedaccess,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562828,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562828,PayStubService,NewrequestSOANOTOKTeamjTeamIDisnotregistered,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562828,PayStubService,registerysaysnotokSOANOTOKTeamjTeamIDisnotregistered,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562828,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562857,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562857,PayStubService,NewrequestSOANOTOKTeamjTeamIDisnotregistered,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562857,PayStubService,registerysaysnotokSOANOTOKTeamjTeamIDisnotregistered,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562857,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562942,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562943,PayStubService,NewrequestSOANOTOKTeamjTeamIDisnotregistered,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562943,PayStubService,registerysaysnotokSOANOTOKTeamjTeamIDisnotregistered,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575562943,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,f4219aab-2ceb-44d3-94e4-4d4be77f1d81
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563097,PayStubService,Clientconnected,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563097,PayStubService,NewrequestDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563097,PayStubService,ErrorparsingARGsWrongformatornumberoffieldsDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563097,PayStubService,ErrorparsingARGsWrongformatornumberoffieldsDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563097,PayStubService,NewrequestSOAOK,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563097,PayStubService,SentmorethanlinesExpectingmandatoryandtooptionalSOAOK,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563097,PayStubService,Clientnotallowedaccess,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563219,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563219,PayStubService,NewrequestSOANOTOKTeamjTeamIDhasalreadypublishedserviceGIORPTOTAL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563219,PayStubService,registerysaysnotokSOANOTOKTeamjTeamIDhasalreadypublishedserviceGIORPTOTAL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563219,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563229,PayStubService,Clientconnected,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563229,PayStubService,NewrequestDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563229,PayStubService,ErrorparsingARGsWrongformatornumberoffieldsDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563229,PayStubService,ErrorparsingARGsWrongformatornumberoffieldsDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563234,PayStubService,NewrequestSOAOK,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563272,PayStubService,SentmorethanlinesExpectingmandatoryandtooptionalSOAOK,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563317,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563317,PayStubService,NewrequestSOANOTOKTeamjTeamIDhasalreadypublishedserviceGIORPTOTAL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563320,PayStubService,registerysaysnotokSOANOTOKTeamjTeamIDhasalreadypublishedserviceGIORPTOTAL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563320,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563324,PayStubService,Clientconnected,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563324,PayStubService,NewrequestDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563324,PayStubService,ErrorparsingARGsWrongformatornumberoffieldsDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563324,PayStubService,ErrorparsingARGsWrongformatornumberoffieldsDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563327,PayStubService,NewrequestSOAOK,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563361,PayStubService,SentmorethanlinesExpectingmandatoryandtooptionalSOAOK,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563384,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563385,PayStubService,NewrequestSOANOTOKTeamjTeamIDhasalreadypublishedserviceGIORPTOTAL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563390,PayStubService,Runningserver,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563390,PayStubService,NewrequestSOANOTOKTeamjTeamIDhasalreadypublishedserviceGIORPTOTAL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563393,PayStubService,registerysaysnotokSOANOTOKTeamjTeamIDhasalreadypublishedserviceGIORPTOTAL,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563393,PayStubService,Failedtopublish,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563398,PayStubService,Clientconnected,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563398,PayStubService,NewrequestDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
84239dab-07f1-4ad9-a0d9-35ab0432a8c5,1575563398,PayStubService,ErrorparsingARGsWrongformatornumberoffieldsDRCEXECSERVICEjTeamSRVGIORPPurchaseTotalizerARGprovinceSTRINGONARGpurchaseAmountDOUBLE,ET,5f96e6dd-54bf-4625-9c42-962060c9a2a5,b6b23026-aa44-4e62-ab7a-2fd3f6c2fad5
